,molecule_chembl_id,canonical_smiles,bioactivity_class,MolecularWeight,LogP,NumHDonors,NumHAcceptors,PIC50
2406,CHEMBL331637,CC12CCC(c3c1nc1ccccc1c3N)C2(C)C,inactive,252.361,3.991900000000002,1.0,2.0,3.958607314841775
2407,CHEMBL60167,Nc1c2c(nc3ccccc13)-c1ccccc1C2,active,232.28599999999997,3.388200000000001,1.0,2.0,6.455931955649724
2408,CHEMBL89012,Nc1c2c(nc3ccccc13)-c1ccccc1CC2,inactive,246.31299999999996,3.582600000000002,1.0,2.0,4.431798275933005
2409,CHEMBL118033,COc1ccc2c(c1)CCc1c-2nc2ccccc2c1N,inactive,276.339,3.5912000000000015,1.0,3.0,4.327902142064283
2410,CHEMBL1084952,Nc1c2c(nc3ccccc13)-c1cc(Br)ccc1CC2,inactive,325.2090000000001,4.345100000000002,1.0,2.0,3.8413360191860106
2411,CHEMBL332454,Nc1c2c(nc3ccccc13)-c1ccccc1CCC2,inactive,260.34,3.9727000000000023,1.0,2.0,3.7796303675486054
2412,CHEMBL119634,COc1ccc2c(c1)CCCc1c-2nc2ccccc2c1N,inactive,290.36600000000004,3.9813000000000027,1.0,3.0,4.162411561764489
2413,CHEMBL118139,Nc1c2c(nc3ccccc13)CCCc1ccccc1-2,inactive,260.34,3.9727000000000023,1.0,2.0,4.4179366370882915
2414,CHEMBL117826,Nc1c2ccccc2nc2c1cnc1cc(Cl)ccc12,inactive,279.73,4.171800000000001,1.0,3.0,3.0
2415,CHEMBL115697,Nc1c2c(nc3ccccc13)-c1ccccc1NCC2,inactive,261.32800000000003,3.452000000000001,2.0,3.0,4.158640529545145
2416,CHEMBL325203,Nc1c2c(nc3ccccc13)-c1ccccc1NCCC2,inactive,275.3550000000001,3.842100000000002,2.0,3.0,3.4077121840478695
2417,CHEMBL115580,CC1Cc2c(nc3ccccc3c2N)C1(C)O,inactive,228.295,2.216700000000001,2.0,3.0,3.8728952016351923
2418,CHEMBL119528,CCCCC1(O)c2nc3ccccc3c(N)c2CC1C,inactive,270.376,3.3870000000000013,2.0,3.0,4.040958607678906
2420,CHEMBL119389,CCCCC1=C(C)Cc2c1nc1ccccc1c2N,inactive,252.361,4.336800000000003,1.0,2.0,4.6020599913279625
2421,CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,active,309.33099999999996,4.435000000000003,1.0,2.0,6.886056647693163
2422,CHEMBL1085276,O=C1c2ccccc2CC1CC1CCN(c2ccccc2)CC1,active,305.42100000000005,4.348300000000004,0.0,2.0,6.823908740944319
2424,CHEMBL1083678,O=C1c2ccccc2CCCC1CC1CCN(c2ccccc2)CC1,inactive,333.475,5.128500000000004,0.0,2.0,4.823908740944319
2425,CHEMBL1083982,COc1cc2c(cc1OC)C(=O)C(CC1CCN(c3ccccc3)CC1)C2,active,365.4730000000001,4.3655000000000035,0.0,4.0,8.244125144327509
2426,CHEMBL1083056,COc1cc2c(cc1OC)C(O)C(CC1CCN(c3ccccc3)CC1)C2,active,367.48900000000015,4.216200000000003,1.0,4.0,6.522878745280337
2428,CHEMBL124933,CNC(=O)Oc1cccc(CN(C)CCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,active,488.5840000000002,5.735600000000006,1.0,6.0,8.853871964321762
2429,CHEMBL189957,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,active,502.6110000000002,6.125700000000006,1.0,6.0,9.494850021680094
2430,CHEMBL1085278,CNC(=O)Oc1cccc(CN(C)CCCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,active,516.6380000000003,6.515800000000008,1.0,6.0,8.167491087293763
2431,CHEMBL1085526,CNC(=O)Oc1cccc(CN(C)CCCCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,active,530.6650000000003,6.905900000000008,1.0,6.0,7.931814138253839
2432,CHEMBL1085527,CNC(=O)Oc1cccc(CN(C)CCCCCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,active,544.6920000000003,7.296000000000008,1.0,6.0,7.661543506395395
2433,CHEMBL1086245,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc(C(=O)c3ccccc3)cc2)c1,active,432.52000000000004,4.536700000000004,1.0,5.0,8.267606240177031
2434,CHEMBL1086246,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc(Cc3ccccc3)cc2)c1,active,418.53700000000003,4.896500000000005,1.0,4.0,7.607303046740334
2435,CHEMBL1086247,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3ccccc3c2)c1,active,378.472,4.458900000000003,1.0,4.0,7.083019952679618
2436,CHEMBL1086248,CNC(=O)Oc1cccc(CN(C)CCCOc2ccccc2)c1,active,328.4119999999999,3.3057000000000016,1.0,4.0,7.099086932262331
2437,CHEMBL124156,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc(-c3ccccc3)cc2)c1,active,404.51,4.972700000000005,1.0,4.0,7.262807357295262
2438,CHEMBL1084276,CNC(=O)Oc1cccc(CN(C)CC#CCOc2ccc3c(=O)c4ccccc4oc3c2)c1,active,456.49800000000016,4.178600000000004,1.0,6.0,6.6777807052660805
2439,CHEMBL340427,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,active,446.5030000000001,4.565300000000004,1.0,6.0,9.522878745280337
2440,CHEMBL340228,CN(CCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1cccc(OC(=O)NCCCCCCN2CCOCC2)c1,active,601.7440000000001,5.828100000000005,1.0,8.0,7.675717544702307
2441,CHEMBL340171,CN(CCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1cccc(OC(=O)NCCCCCCCN2CCOCC2)c1,active,615.7710000000001,6.218200000000006,1.0,8.0,7.581698708680254
2442,CHEMBL127465,CN(CCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1cccc(OC(=O)NCCCCCCCCN2CCOCC2)c1,active,629.798,6.608300000000006,1.0,8.0,7.562249437179612
2443,CHEMBL127857,CN(CCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1cccc(OC(=O)NCCCCCCCCCN2CCOCC2)c1,active,643.8249999999999,6.998400000000007,1.0,8.0,7.533132379645891
2444,CHEMBL94054,Cc1cc(-c2ccccc2)n[nH]c1=NCCC1CCN(Cc2ccccc2)CC1,active,386.5430000000001,4.5881200000000035,1.0,3.0,6.494850021680094
2445,CHEMBL90241,CC(C)c1cc(-c2ccccc2)n[nH]c1=NCCC1CCN(Cc2ccccc2)CC1,active,414.59700000000026,5.403100000000005,1.0,3.0,6.366531544420414
2446,CHEMBL91240,Cc1cc(=NCCC2CCN(Cc3ccccc3)CC2)[nH]nc1-c1ccccc1,active,386.5430000000001,4.5881200000000035,1.0,3.0,7.6777807052660805
2447,CHEMBL90264,CCc1cc(=NCCC2CCN(Cc3ccccc3)CC2)[nH]nc1-c1ccccc1,active,400.5700000000001,4.842100000000005,1.0,3.0,7.568636235841013
2448,CHEMBL91432,CCCc1cc(=NCCC2CCN(Cc3ccccc3)CC2)[nH]nc1-c1ccccc1,active,414.59700000000015,5.232200000000005,1.0,3.0,7.214670164989233
2449,CHEMBL91774,c1ccc(CN2CCC(CCN=c3[nH]nc(-c4ccccc4)c4ccccc34)CC2)cc1,active,422.5760000000002,5.432900000000005,1.0,3.0,6.356547323513812
2450,CHEMBL421501,c1ccc2c(NCCCCCCNc3c4c(nc5ccccc35)CCC4)c3c(nc2c1)CCC3,active,450.63000000000034,6.844800000000006,2.0,4.0,6.939302159646388
2451,CHEMBL76014,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCC4)c3c(nc2c1)CCC3,active,464.6570000000003,7.234900000000007,2.0,4.0,7.1249387366083
2452,CHEMBL74827,c1ccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCC4)c3c(nc2c1)CCC3,active,478.68400000000037,7.625000000000007,2.0,4.0,7.657577319177793
2453,CHEMBL73800,c1ccc2c(NCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,active,478.6840000000004,7.625000000000007,2.0,4.0,8.853871964321762
2454,CHEMBL32823,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,active,492.7110000000004,8.015100000000007,2.0,4.0,9.698970004336019
2455,CHEMBL75274,c1ccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,active,506.73800000000045,8.405200000000004,2.0,4.0,8.795880017344075
2456,CHEMBL74940,Fc1ccc2c(NCCCCCCNc3c4c(nc5cc(F)ccc35)CCCC4)c3c(nc2c1)CCCC3,active,514.6640000000003,7.903200000000007,2.0,4.0,9.045757490560675
2457,CHEMBL74927,Fc1ccc2c(NCCCCCCCNc3c4c(nc5cc(F)ccc35)CCCC4)c3c(nc2c1)CCCC3,active,528.6910000000003,8.293300000000006,2.0,4.0,9.221848749616356
2458,CHEMBL312761,Fc1ccc2c(NCCCCCCCCNc3c4c(nc5cc(F)ccc35)CCCC4)c3c(nc2c1)CCCC3,active,542.7180000000002,8.683400000000002,2.0,4.0,9.154901959985743
